Class,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144,T145,T146,T147,T148,T149,T150,T151,T152,T153,T154,T155,T156,T157,T158,T159,T160,T161,T162,T163,T164,T165,T166,T167,T168,T169,T170,T171,T172,T173,T174,T175,T176,T177,T178,T179,T180,T181,T182,T183,T184,T185,T186,T187,T188,T189,T190,T191,T192,T193,T194,T195,T196,T197,T198,T199,T200,T201,T202,T203,T204,T205,T206,T207,T208,T209,T210,T211,T212,T213,T214,T215,T216,T217,T218,T219,T220,T221,T222,T223,T224,T225,T226,T227,T228,T229,T230,T231,T232,T233,T234,T235,T236,T237,T238,T239,T240,T241,T242,T243,T244,T245,T246,T247,T248,T249,T250,T251,T252,T253,T254,T255,T256,T257,T258,T259,T260,T261,T262,T263,T264,T265,T266,T267,T268,T269,T270,T271,T272,T273,T274,T275,T276,T277,T278,T279,T280,T281,T282,T283,T284,T285,T286,T287,T288,T289,T290,T291,T292,T293,T294,T295,T296,T297,T298,T299,T300,T301,T302,T303,T304,T305,T306,T307,T308,T309,T310,T311,T312,T313,T314,T315,T316,T317,T318,T319,T320,T321,T322,T323,T324,T325,T326,T327,T328,T329,T330,T331,T332,T333,T334,T335,T336,T337,T338,T339,T340,T341,T342,T343,T344,T345,T346,T347,T348,T349,T350,T351,T352,T353,T354,T355,T356,T357,T358,T359,T360,T361,T362,T363,T364,T365,T366,T367,T368,T369,T370,T371,T372,T373,T374,T375,T376,T377,T378,T379,T380,T381,T382,T383,T384,T385,T386,T387,T388,T389,T390,T391,T392,T393,T394,T395,T396,T397,T398,T399,T400,T401,T402,T403,T404,T405,T406,T407,T408,T409,T410,T411,T412,T413,T414,T415,T416,T417,T418,T419,T420,T421,T422,T423,T424,T425,T426,T427,T428,T429,T430,T431,T432,T433,T434,T435,T436,T437,T438,T439,T440,T441,T442,T443,T444,T445,T446,T447,T448,T449,T450,T451,T452,T453,T454,T455,T456,T457,T458,T459,T460,T461,T462,T463,T464,T465,T466,T467,T468,T469,T470,T471,T472,T473,T474,T475,T476,T477,T478,T479,T480,T481,T482,T483,T484,T485,T486,T487,T488,T489,T490,T491,T492,T493,T494,T495,T496,T497,T498,T499,T500
nexgr,41.3036,43.367,45.3069,47.1308,48.8455,50.4576,51.9732,53.3981,54.7378,55.9973,57.1815,58.2947,59.3414,60.3254,61.2506,62.1204,62.9381,63.7069,64.4297,65.1093,65.7482,66.3488,66.9135,67.4445,67.9436,68.4129,68.8541,69.2689,69.6589,70.0255,70.3702,70.6943,70.999,71.2854,71.5547,71.8079,72.046,72.2698,72.4802,72.678,72.864,73.0388,73.2032,73.3578,73.5031,73.6397,73.7681,73.8889,74.0024,74.1091,74.2095,74.3038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nexgr,12.8835,14.6017,16.2735,17.9003,19.4832,21.0235,22.5222,23.9805,25.3996,26.7803,28.1238,29.4312,30.7032,31.941,33.1454,34.3174,35.4577,36.5673,37.647,38.6976,39.7199,40.7146,41.6825,42.6243,43.5407,44.4324,45.3,46.1443,46.9658,47.7652,48.543,49.2998,50.0363,50.7529,51.4501,52.1286,52.7888,53.4312,54.0563,54.6645,55.2563,55.8322,56.3925,56.9377,57.4683,57.9845,58.4868,58.9756,59.4512,59.914,60.3643,60.8024,61.2288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nexgr,17.5007,19.3999,21.2017,22.9113,24.5333,26.0721,27.5322,28.9174,30.2317,31.4786,32.6617,33.7841,34.849,35.8594,36.818,37.7275,38.5904,39.4091,40.1859,40.9229,41.6221,42.2854,42.9148,43.512,44.0786,44.6161,45.1261,45.6099,46.069,46.5046,46.9178,47.3099,47.6819,48.0348,48.3697,48.6873,48.9888,49.2747,49.5461,49.8035,50.0477,50.2794,50.4993,50.7079,50.9058,51.0935,51.2717,51.4407,51.601,51.7532,51.8975,52.0345,52.1644,52.2877,52.4047,52.5156,52.6209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nexgr,36.1689,37.1694,38.1312,39.0557,39.9445,40.7989,41.6203,42.4098,43.1688,43.8985,44.5999,45.2742,45.9223,46.5455,47.1445,47.7203,48.2738,48.8059,49.3175,49.8092,50.2819,50.7364,51.1732,51.5931,51.9968,52.3849,52.758,53.1166,53.4613,53.7927,54.1113,54.4176,54.712,54.995,55.2671,55.5286,55.7801,56.0217,56.2541,56.4774,56.6922,56.8986,57.097,57.2877,57.4711,57.6473,57.8168,57.9797,58.1363,58.2868,58.4315,58.5706,58.7043,58.8329,58.9564,59.0752,59.1894,59.2992,59.4048,59.5062,59.6037,59.6975,59.7876,59.8742,59.9575,60.0376,60.1145,60.1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nexgr,378.046,403.665,426.832,447.781,466.723,483.853,499.341,513.347,526.012,537.465,547.82,557.185,565.652,573.309,580.233,586.494,592.155,597.274,601.904,606.09,609.875,613.297,616.392,619.191,621.722,624.01,626.079,627.951,629.643,631.173,632.556,633.807,634.938,635.961,636.886,637.723,638.479,639.163,639.781,640.341,640.846,641.304,641.717,642.091,642.429,642.735,643.011,643.261,643.487,643.692,643.876,644.044,644.195,644.331,644.455,644.567,644.668,644.759,644.842,644.916,644.984,645.045,645.1,645.15,645.195,645.236,645.273,645.307,645.337,645.364,645.389,645.411,645.431,645.45,645.466,645.481,645.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nexgr,21.434,25.5867,29.3542,32.7725,35.8737,38.6873,41.2401,43.5561,45.6573,47.5637,49.2933,50.8625,52.2862,53.5779,54.7498,55.813,56.7776,57.6528,58.4468,59.1672,59.8208,60.4138,60.9518,61.4399,61.8827,62.2845,62.649,62.9797,63.2798,63.552,63.799,64.023,64.2263,64.4108,64.5781,64.7299,64.8677,64.9926,65.106,65.2089,65.3022,65.3869,65.4637,65.5334,65.5966,65.654,65.7061,65.7533,65.7961,65.835,65.8703,65.9023,65.9313,65.9576,65.9815,66.0032,66.0229,66.0407,66.0569,66.0716,66.0849,66.097,66.108,66.1179,66.127,66.1352,66.1426,66.1493,66.1555,66.161,66.166,66.1706,66.1748,66.1785,66.1819,66.185,66.1878,66.1904,66.1927,66.1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nexgr,1.94733,6.28842,10.3823,14.2432,17.8843,21.318,24.5563,27.6102,30.4902,33.2063,35.7677,38.1833,40.4614,42.6098,44.6358,46.5466,48.3485,50.0479,51.6505,53.1618,54.5871,55.9313,57.1989,58.3944,59.5218,60.585,61.5877,62.5333,63.4251,64.2661,65.0592,65.8072,66.5126,67.1778,67.8052,68.3968,68.9547,69.4809,69.9772,70.4451,70.8865,71.3027,71.6952,72.0654,72.4144,72.7437,73.0541,73.3469,73.6231,73.8835,74.129,74.3606,74.5791,74.785,74.9793,75.1625,75.3352,75.4982,75.6518,75.7967,75.9334,76.0622,76.1838,76.2984,76.4065,76.5084,76.6046,76.6952,76.7807,76.8614,76.9374,77.0091,77.0767,77.1405,77.2007,77.2574,77.3109,77.3613,77.4089,77.4538,77.4961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nexgr,10.7088,11.6288,12.5218,13.3888,14.2303,15.0473,15.8404,16.6103,17.3577,18.0832,18.7876,19.4713,20.135,20.7793,21.4048,22.012,22.6014,23.1736,23.7291,24.2683,24.7918,25.2999,25.7932,26.2721,26.7369,27.1882,27.6263,28.0515,28.4644,28.8651,29.2542,29.6318,29.9984,30.3543,30.6998,31.0352,31.3608,31.6768,31.9837,32.2815,32.5706,32.8513,33.1238,33.3883,33.6451,33.8943,34.1363,34.3712,34.5992,34.8206,35.0355,35.2441,35.4466,35.6432,35.834,36.0193,36.1991,36.3737,36.5432,36.7077,36.8674,37.0224,37.1729,37.319,37.4609,37.5985,37.7322,37.8619,37.9879,38.1102,38.2289,38.3441,38.4559,38.5645,38.6699,38.7723,38.8716,38.968,39.0616,39.1525,39.2407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nexgr,34.8062,36.1052,37.3578,38.5657,39.7305,40.8537,41.9368,42.9812,43.9883,44.9595,45.896,46.7991,47.6699,48.5097,49.3194,50.1003,50.8533,51.5793,52.2795,52.9547,53.6058,54.2336,54.839,55.4228,55.9857,56.5286,57.0521,57.5569,58.0436,58.513,58.9656,59.4021,59.823,60.2289,60.6202,60.9976,61.3615,61.7125,62.0509,62.3772,62.6919,62.9953,63.2879,63.5701,63.8422,64.1045,64.3575,64.6015,64.8368,65.0636,65.2824,65.4933,65.6968,65.8929,66.0821,66.2645,66.4404,66.61,66.7735,66.9313,67.0833,67.23,67.3714,67.5078,67.6393,67.7661,67.8884,68.0063,68.12,68.2296,68.3354,68.4373,68.5356,68.6305,68.7219,68.81,68.895,68.977,69.0561,69.1323,69.2058,69.2767,69.345,69.4109,69.4745,69.5358,69.5949,69.6519,69.7068,69.7598,69.8109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nexgr,9.53828,10.5365,11.5034,12.4399,13.347,14.2256,15.0766,15.9008,16.6991,17.4724,18.2214,18.9468,19.6494,20.33,20.9892,21.6276,22.246,22.845,23.4251,23.9871,24.5313,25.0585,25.5691,26.0636,26.5427,27.0066,27.456,27.8913,28.3129,28.7212,29.1167,29.4998,29.8709,30.2303,30.5784,30.9155,31.2421,31.5584,31.8648,32.1615,32.4489,32.7273,32.997,33.2581,33.5111,33.7561,33.9934,34.2233,34.4459,34.6616,34.8704,35.0727,35.2687,35.4585,35.6423,35.8203,35.9928,36.1598,36.3216,36.4783,36.6301,36.7771,36.9195,37.0574,37.191,37.3204,37.4457,37.5671,37.6847,37.7986,37.9089,38.0157,38.1192,38.2194,38.3165,38.4105,38.5016,38.5898,38.6752,38.758,38.8381,38.9158,38.991,39.0638,39.1343,39.2027,39.2688,39.3329,39.395,39.4552,39.5134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
